alpha_id,zoo,theme,status,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,ls_sharpe,top_sharpe,ls_ann_ret,reason
gtja191_136,gtja191,"momentum,volume",ok,0.0107,0.1662,1.018,0.545,2.1,0.531,-0.032,0.0729,
gtja191_137,gtja191,volatility,ok,-0.0229,0.2143,-1.7,0.46,-3.52,-0.347,-0.511,-0.0612,
gtja191_138,gtja191,volume,skip,,,,,,,,,gtja191_138: panel missing required columns ['amount']
gtja191_139,gtja191,volume,ok,0.0096,0.1703,0.895,0.519,1.85,0.377,0.18,0.0527,
gtja191_140,gtja191,volume,ok,0.0087,0.1849,0.745,0.53,1.47,-0.382,0.097,-0.0594,
gtja191_141,gtja191,volume,ok,-0.0016,0.1435,-0.173,0.487,-0.35,-0.602,-0.165,-0.0772,
gtja191_142,gtja191,"volume,reversal",ok,0.0121,0.1941,0.987,0.549,2.02,0.196,-0.047,0.0314,
gtja191_143,gtja191,momentum,ok,-0.0494,0.2539,-3.089,0.42,-6.4,-0.448,-0.237,-0.0953,
gtja191_144,gtja191,liquidity,skip,,,,,,,,,gtja191_144: panel missing required columns ['amount']
gtja191_145,gtja191,volume,ok,-0.0123,0.1762,-1.105,0.456,-2.26,0.159,0.017,0.0235,
gtja191_146,gtja191,momentum,ok,-0.0011,0.1708,-0.104,0.484,-0.21,-0.283,-0.004,-0.042,
gtja191_147,gtja191,momentum,ok,0.0072,0.2382,0.483,0.522,0.99,0.521,0.101,0.097,
gtja191_148,gtja191,volume,ok,0.0051,0.1596,0.503,0.508,1.01,0.437,0.069,0.0649,
gtja191_149,gtja191,momentum,ok,-0.0204,0.2581,-1.254,0.459,-2.57,-0.066,-0.038,-0.0137,
gtja191_150,gtja191,volume,ok,-0.0247,0.1679,-2.341,0.436,-4.85,-0.844,-0.503,-0.1289,
gtja191_151,gtja191,momentum,ok,0.0042,0.2592,0.259,0.5,0.53,0.077,-0.184,0.0161,
gtja191_152,gtja191,momentum,ok,0.0006,0.2219,0.041,0.48,0.08,0.25,0.108,0.0449,
gtja191_153,gtja191,momentum,ok,-0.026,0.2184,-1.888,0.451,-3.87,-0.924,-0.495,-0.1544,
gtja191_154,gtja191,volume,skip,,,,,,,,,gtja191_154: panel missing required columns ['amount']
gtja191_155,gtja191,volume,ok,-0.0151,0.1651,-1.449,0.47,-3.0,-0.925,-0.366,-0.1254,
gtja191_156,gtja191,volume,skip,,,,,,,,,gtja191_156: panel missing required columns ['amount']
gtja191_157,gtja191,volume,ok,0.0061,0.2064,0.466,0.521,0.96,-0.293,-0.373,-0.0469,
gtja191_158,gtja191,volatility,ok,-0.0416,0.2021,-3.27,0.404,-6.78,-0.289,-0.307,-0.0517,
gtja191_159,gtja191,momentum,ok,-0.0523,0.2413,-3.439,0.397,-7.05,-0.006,0.125,-0.0012,
gtja191_160,gtja191,volatility,ok,-0.0351,0.2488,-2.239,0.423,-4.6,-0.665,-0.417,-0.1251,
gtja191_161,gtja191,volatility,ok,-0.039,0.2337,-2.652,0.428,-5.47,-0.909,-0.476,-0.1645,
gtja191_162,gtja191,momentum,ok,-0.0078,0.2146,-0.577,0.481,-1.19,0.104,-0.33,0.0172,
gtja191_163,gtja191,volume,skip,,,,,,,,,gtja191_163: panel missing required columns ['amount']
gtja191_164,gtja191,momentum,ok,0.0351,0.2287,2.439,0.576,5.03,0.675,0.233,0.1224,
gtja191_165,gtja191,volatility,ok,-0.0072,0.1542,-0.742,0.473,-1.43,-1.122,-0.201,-0.14,
gtja191_166,gtja191,volatility,ok,-0.0063,0.1896,-0.53,0.476,-1.08,-0.744,-0.343,-0.1005,
gtja191_167,gtja191,momentum,ok,-0.0387,0.2203,-2.788,0.442,-5.75,-0.761,-0.394,-0.1316,
gtja191_168,gtja191,volume,ok,0.0146,0.169,1.367,0.541,2.81,0.17,0.003,0.0243,
gtja191_169,gtja191,momentum,ok,0.0054,0.2125,0.406,0.496,0.83,0.925,0.205,0.1559,
gtja191_170,gtja191,volume,skip,,,,,,,,,gtja191_170: panel missing required columns ['amount']
gtja191_171,gtja191,microstructure,ok,0.0387,0.2047,3.001,0.57,6.22,1.86,0.456,0.309,
gtja191_172,gtja191,momentum,ok,0.0062,0.1611,0.607,0.513,1.25,0.635,0.142,0.0841,
gtja191_173,gtja191,momentum,ok,-0.0277,0.2174,-2.02,0.456,-4.19,-0.987,-0.536,-0.1645,
gtja191_174,gtja191,volatility,ok,-0.036,0.2334,-2.451,0.432,-5.04,-1.014,-0.521,-0.1807,
gtja191_175,gtja191,volatility,ok,-0.0401,0.2328,-2.733,0.427,-5.65,-0.756,-0.4,-0.1352,
gtja191_176,gtja191,volume,ok,-0.0024,0.1355,-0.282,0.483,-0.58,0.523,-0.029,0.061,
gtja191_177,gtja191,momentum,ok,0.0053,0.2109,0.402,0.5,0.83,-0.208,0.118,-0.0354,
gtja191_178,gtja191,"momentum,volume",ok,-0.0322,0.2089,-2.446,0.433,-5.07,-1.241,-0.706,-0.2158,
gtja191_179,gtja191,volume,skip,,,,,,,,,gtja191_179: panel missing required columns ['amount']
gtja191_180,gtja191,"volume,reversal",ok,-0.0145,0.1646,-1.402,0.449,-2.82,-0.902,-0.311,-0.1224,
gtja191_181,gtja191,volatility,ok,0.0014,0.2226,0.102,0.491,0.21,0.853,0.457,0.1594,
gtja191_182,gtja191,momentum,ok,-0.0125,0.2299,-0.862,0.461,-1.77,0.094,-0.095,0.017,
gtja191_183,gtja191,volatility,ok,-0.0037,0.1657,-0.352,0.492,-0.71,-0.309,-0.078,-0.0409,
gtja191_184,gtja191,reversal,ok,0.0166,0.1905,1.38,0.531,2.58,0.32,0.226,0.0495,
gtja191_185,gtja191,reversal,ok,0.0173,0.177,1.555,0.541,3.22,0.135,-0.151,0.0206,
gtja191_186,gtja191,momentum,ok,0.012,0.1579,1.206,0.536,2.47,1.164,0.223,0.1566,
gtja191_187,gtja191,reversal,ok,-0.0368,0.2234,-2.616,0.429,-5.37,-0.603,-0.374,-0.1055,
gtja191_188,gtja191,volatility,ok,-0.0028,0.168,-0.267,0.493,-0.55,-0.129,-0.374,-0.0186,
gtja191_189,gtja191,volatility,ok,-0.0382,0.2278,-2.662,0.421,-5.49,-0.602,-0.325,-0.106,
gtja191_190,gtja191,momentum,ok,0.0122,0.1689,1.146,0.534,2.33,-0.52,-0.2,-0.0734,
gtja191_191,gtja191,volume,ok,0.0079,0.1665,0.754,0.514,1.55,1.45,0.337,0.2056,
qlib158_beta10,qlib158,momentum,ok,-0.0041,0.2464,-0.267,0.492,-0.55,0.495,0.069,0.1004,
qlib158_beta20,qlib158,momentum,ok,-0.0003,0.2535,-0.017,0.497,-0.03,0.498,0.112,0.1056,
qlib158_beta30,qlib158,momentum,ok,0.0001,0.2652,0.006,0.502,0.01,0.373,0.124,0.0825,
qlib158_beta5,qlib158,momentum,ok,-0.0102,0.2346,-0.692,0.493,-1.43,0.195,-0.212,0.0383,
qlib158_beta60,qlib158,momentum,ok,-0.0015,0.2628,-0.094,0.504,-0.19,0.154,0.255,0.0341,
qlib158_cntd10,qlib158,reversal,ok,-0.0006,0.2025,-0.044,0.493,-0.09,0.288,0.109,0.0481,
qlib158_cntd20,qlib158,reversal,ok,0.0032,0.2149,0.239,0.532,0.49,0.179,0.033,0.0319,
qlib158_cntd30,qlib158,reversal,ok,0.0057,0.2238,0.403,0.532,0.82,0.056,0.031,0.0107,
qlib158_cntd5,qlib158,reversal,ok,-0.0089,0.1936,-0.727,0.475,-1.5,-0.011,-0.113,-0.0019,
qlib158_cntd60,qlib158,reversal,ok,0.0084,0.2321,0.571,0.529,1.15,-0.325,-0.106,-0.0627,
qlib158_cntn10,qlib158,reversal,ok,-0.0037,0.206,-0.286,0.495,-0.59,0.017,0.074,0.0028,
qlib158_cntn20,qlib158,reversal,ok,-0.0083,0.2196,-0.6,0.468,-1.23,-0.156,-0.129,-0.0277,
qlib158_cntn30,qlib158,reversal,ok,-0.0116,0.2298,-0.802,0.462,-1.64,0.023,0.065,0.0043,
qlib158_cntn5,qlib158,reversal,ok,0.0054,0.1951,0.443,0.513,0.92,0.2,-0.095,0.0311,
qlib158_cntn60,qlib158,reversal,ok,-0.0148,0.2388,-0.985,0.471,-1.99,0.142,0.086,0.0276,
qlib158_cntp10,qlib158,reversal,ok,-0.0056,0.1946,-0.458,0.485,-0.95,0.233,0.088,0.0382,
qlib158_cntp20,qlib158,reversal,ok,-0.0033,0.2019,-0.256,0.505,-0.53,0.139,0.063,0.0238,
qlib158_cntp30,qlib158,reversal,ok,-0.0022,0.2086,-0.164,0.516,-0.34,-0.1,-0.046,-0.0179,
qlib158_cntp5,qlib158,reversal,ok,-0.0129,0.1881,-1.09,0.473,-2.25,0.041,-0.07,0.0066,
qlib158_cntp60,qlib158,reversal,ok,-0.0008,0.2111,-0.062,0.503,-0.13,-0.617,-0.237,-0.1082,
qlib158_cord10,qlib158,"volume,microstructure",ok,-0.0156,0.1873,-1.322,0.464,-2.73,0.011,-0.248,0.0017,
qlib158_cord20,qlib158,"volume,microstructure",ok,-0.0221,0.1887,-1.863,0.44,-3.83,-0.18,-0.182,-0.0279,
qlib158_cord30,qlib158,"volume,microstructure",ok,-0.024,0.1887,-2.021,0.426,-4.13,-0.164,-0.063,-0.0255,
qlib158_cord5,qlib158,"volume,microstructure",ok,-0.0118,0.1825,-1.027,0.476,-2.12,0.366,-0.035,0.0549,
qlib158_cord60,qlib158,"volume,microstructure",ok,-0.0299,0.1889,-2.51,0.43,-5.06,-0.071,0.113,-0.0114,
qlib158_corr10,qlib158,"volume,microstructure",ok,-0.0134,0.178,-1.193,0.47,-2.46,0.254,-0.053,0.0367,
qlib158_corr20,qlib158,"volume,microstructure",ok,-0.012,0.1951,-0.98,0.477,-2.01,0.142,-0.032,0.0229,
qlib158_corr30,qlib158,"volume,microstructure",ok,-0.01,0.1992,-0.796,0.467,-1.63,0.298,0.095,0.0494,
qlib158_corr5,qlib158,"volume,microstructure",ok,-0.0033,0.1669,-0.311,0.498,-0.64,0.687,0.042,0.0966,
qlib158_corr60,qlib158,"volume,microstructure",ok,-0.002,0.2171,-0.145,0.501,-0.29,0.573,0.352,0.1015,
qlib158_imax10,qlib158,momentum,ok,0.0043,0.1999,0.342,0.507,0.7,0.568,0.183,0.0921,
qlib158_imax20,qlib158,momentum,ok,-0.0053,0.2109,-0.402,0.5,-0.83,0.153,0.222,0.0257,
qlib158_imax30,qlib158,momentum,ok,-0.0027,0.2153,-0.201,0.491,-0.41,0.427,0.227,0.0739,
qlib158_imax5,qlib158,momentum,ok,-0.0007,0.2003,-0.053,0.504,-0.11,0.428,0.096,0.0673,
qlib158_imax60,qlib158,momentum,ok,-0.0024,0.2109,-0.179,0.507,-0.36,0.462,0.22,0.0803,
qlib158_imin10,qlib158,momentum,ok,-0.008,0.207,-0.611,0.491,-1.26,-0.476,-0.25,-0.0754,
qlib158_imin20,qlib158,momentum,ok,-0.0059,0.2085,-0.449,0.486,-0.92,-0.851,-0.509,-0.1407,
qlib158_imin30,qlib158,momentum,ok,-0.0021,0.2147,-0.154,0.493,-0.32,-0.285,-0.382,-0.0485,
qlib158_imin5,qlib158,momentum,ok,0.0009,0.1962,0.07,0.492,0.15,0.28,-0.057,0.0415,
qlib158_imin60,qlib158,momentum,ok,-0.0007,0.215,-0.05,0.493,-0.1,-0.303,-0.309,-0.0525,
qlib158_imxd10,qlib158,momentum,ok,0.0081,0.2174,0.594,0.511,1.23,1.045,0.445,0.1824,
qlib158_imxd20,qlib158,momentum,ok,0.0001,0.2244,0.004,0.509,0.01,0.65,0.307,0.1181,
qlib158_imxd30,qlib158,momentum,ok,0.0005,0.2333,0.033,0.507,0.07,0.496,0.219,0.0958,
qlib158_imxd5,qlib158,momentum,ok,-0.0002,0.2131,-0.014,0.497,-0.03,0.35,-0.055,0.06,
qlib158_imxd60,qlib158,momentum,ok,-0.0016,0.2301,-0.107,0.494,-0.22,0.363,0.207,0.0692,
qlib158_klen,qlib158,microstructure,ok,-0.0421,0.2015,-3.317,0.405,-6.88,-0.304,-0.314,-0.0545,
qlib158_klow,qlib158,microstructure,ok,-0.045,0.1855,-3.852,0.406,-7.99,-1.645,-0.855,-0.2615,
qlib158_klow2,qlib158,microstructure,ok,-0.0215,0.1744,-1.957,0.428,-4.06,-1.679,-0.893,-0.2373,
qlib158_kmid,qlib158,microstructure,ok,-0.0306,0.2185,-2.224,0.429,-4.61,-0.973,-0.83,-0.1768,
qlib158_kmid2,qlib158,microstructure,ok,-0.0272,0.2122,-2.037,0.445,-4.22,-0.757,-0.702,-0.1297,
qlib158_ksft,qlib158,microstructure,ok,-0.0396,0.2231,-2.816,0.416,-5.84,-1.718,-1.124,-0.323,
qlib158_ksft2,qlib158,microstructure,ok,-0.0377,0.2074,-2.885,0.435,-5.98,-1.559,-1.008,-0.2687,
qlib158_kup,qlib158,microstructure,ok,-0.0162,0.188,-1.368,0.455,-2.83,0.307,0.175,0.0508,
qlib158_kup2,qlib158,microstructure,ok,0.008,0.1755,0.727,0.522,1.51,0.849,0.386,0.1248,
qlib158_ma10,qlib158,momentum,ok,0.0083,0.2405,0.547,0.509,1.13,-0.208,-0.339,-0.0414,
qlib158_ma20,qlib158,momentum,ok,0.0042,0.2518,0.267,0.502,0.55,-0.453,-0.457,-0.0953,
qlib158_ma30,qlib158,momentum,ok,0.0014,0.2594,0.088,0.502,0.18,-0.537,-0.514,-0.1171,
qlib158_ma5,qlib158,momentum,ok,0.0169,0.2307,1.164,0.533,2.41,-0.194,-0.401,-0.0375,
qlib158_ma60,qlib158,momentum,ok,0.0048,0.2684,0.284,0.497,0.57,0.016,0.063,0.0037,
qlib158_max10,qlib158,momentum,ok,-0.0204,0.242,-1.337,0.462,-2.76,-0.453,-0.431,-0.086,
qlib158_max20,qlib158,momentum,ok,-0.0191,0.2504,-1.212,0.473,-2.49,-0.664,-0.432,-0.1295,
qlib158_max30,qlib158,momentum,ok,-0.0193,0.2587,-1.184,0.472,-2.42,-0.584,-0.227,-0.1182,
qlib158_max5,qlib158,momentum,ok,-0.0137,0.238,-0.917,0.474,-1.9,-0.109,-0.21,-0.0208,
qlib158_max60,qlib158,momentum,ok,-0.0183,0.2658,-1.095,0.472,-2.21,-0.35,-0.04,-0.0727,
qlib158_min10,qlib158,momentum,ok,0.0293,0.2135,2.179,0.55,4.5,-0.246,-0.181,-0.0452,
qlib158_min20,qlib158,momentum,ok,0.0222,0.222,1.584,0.539,3.26,-0.671,-0.345,-0.1314,
qlib158_min30,qlib158,momentum,ok,0.0191,0.2277,1.329,0.526,2.72,-0.687,-0.425,-0.1373,
qlib158_min5,qlib158,momentum,ok,0.0395,0.2108,2.977,0.576,6.16,0.133,0.036,0.0242,
qlib158_min60,qlib158,momentum,ok,0.0245,0.2313,1.684,0.555,3.39,-0.231,-0.472,-0.0469,
qlib158_qtld10,qlib158,momentum,ok,0.018,0.2257,1.263,0.524,2.61,-0.206,-0.26,-0.0392,
qlib158_qtld20,qlib158,momentum,ok,0.0117,0.2381,0.783,0.529,1.61,-0.584,-0.463,-0.1183,
qlib158_qtld30,qlib158,momentum,ok,0.0078,0.2442,0.506,0.493,1.04,-0.688,-0.591,-0.1431,
qlib158_qtld5,qlib158,momentum,ok,0.0251,0.2187,1.823,0.544,3.77,0.018,-0.156,0.0034,
qlib158_qtld60,qlib158,momentum,ok,0.0114,0.2538,0.71,0.505,1.43,-0.236,-0.385,-0.0513,
qlib158_qtlu10,qlib158,momentum,ok,0.0011,0.2409,0.069,0.493,0.14,-0.375,-0.5,-0.0739,
qlib158_qtlu20,qlib158,momentum,ok,0.0005,0.2539,0.033,0.494,0.07,-0.185,-0.283,-0.0385,
qlib158_qtlu30,qlib158,momentum,ok,-0.003,0.262,-0.179,0.504,-0.37,-0.299,-0.208,-0.0643,
qlib158_qtlu5,qlib158,momentum,ok,0.0097,0.2325,0.665,0.528,1.38,0.157,-0.256,0.0302,
qlib158_qtlu60,qlib158,momentum,ok,-0.0028,0.2686,-0.167,0.509,-0.34,0.075,0.161,0.0163,
qlib158_rank10,qlib158,momentum,ok,-0.0084,0.2237,-0.594,0.483,-1.23,0.348,-0.132,0.0614,
qlib158_rank20,qlib158,momentum,ok,-0.005,0.2341,-0.337,0.484,-0.69,0.327,-0.032,0.0618,
qlib158_rank30,qlib158,momentum,ok,-0.001,0.2399,-0.067,0.497,-0.14,0.695,0.162,0.1348,
qlib158_rank5,qlib158,momentum,ok,-0.0182,0.2129,-1.358,0.455,-2.81,-0.086,-0.359,-0.0146,
qlib158_rank60,qlib158,momentum,ok,-0.0027,0.249,-0.173,0.489,-0.35,0.57,0.13,0.1169,
qlib158_resi10,qlib158,momentum,ok,-0.0083,0.2405,-0.547,0.491,-1.13,0.208,-0.148,0.0414,
qlib158_resi20,qlib158,momentum,ok,-0.0042,0.2518,-0.267,0.498,-0.55,0.453,-0.008,0.0953,
qlib158_resi30,qlib158,momentum,ok,-0.0014,0.2594,-0.088,0.498,-0.18,0.537,0.033,0.1171,
qlib158_resi5,qlib158,momentum,ok,-0.0169,0.2307,-1.165,0.467,-2.41,0.196,-0.231,0.038,
qlib158_resi60,qlib158,momentum,ok,-0.0048,0.2684,-0.284,0.503,-0.57,-0.016,0.047,-0.0037,
qlib158_roc10,qlib158,momentum,ok,-0.0041,0.2464,-0.267,0.492,-0.55,0.495,0.068,0.1003,
qlib158_roc20,qlib158,momentum,ok,-0.0003,0.2535,-0.016,0.497,-0.03,0.496,0.11,0.1053,
qlib158_roc30,qlib158,momentum,ok,0.0001,0.2652,0.006,0.502,0.01,0.373,0.125,0.0825,
qlib158_roc5,qlib158,momentum,ok,-0.0102,0.2346,-0.692,0.493,-1.43,0.191,-0.213,0.0375,
qlib158_roc60,qlib158,momentum,ok,-0.0016,0.2628,-0.094,0.504,-0.19,0.154,0.255,0.0341,
qlib158_rsqr10,qlib158,momentum,ok,-0.0087,0.1653,-0.837,0.476,-1.73,-1.039,-0.369,-0.1372,
qlib158_rsqr20,qlib158,momentum,ok,0.0045,0.1637,0.432,0.488,0.89,0.487,-0.007,0.0641,
qlib158_rsqr30,qlib158,momentum,ok,0.0051,0.1692,0.475,0.513,0.97,0.738,0.126,0.1034,
qlib158_rsqr5,qlib158,momentum,ok,0.0031,0.165,0.297,0.495,0.61,-0.245,-0.199,-0.0338,
qlib158_rsqr60,qlib158,momentum,ok,-0.0012,0.174,-0.113,0.502,-0.23,0.382,0.245,0.0532,
qlib158_rsv10,qlib158,momentum,ok,-0.0026,0.2293,-0.178,0.497,-0.37,0.604,0.102,0.1122,
qlib158_rsv20,qlib158,momentum,ok,-0.0008,0.2369,-0.053,0.485,-0.11,0.845,0.375,0.1634,
qlib158_rsv30,qlib158,momentum,ok,0.0015,0.2448,0.099,0.505,0.2,0.833,0.238,0.1685,
qlib158_rsv5,qlib158,momentum,ok,-0.0137,0.223,-0.977,0.477,-2.02,-0.088,-0.372,-0.0158,
qlib158_rsv60,qlib158,momentum,ok,-0.0023,0.2509,-0.144,0.501,-0.29,0.439,0.203,0.0916,
qlib158_std10,qlib158,momentum,ok,-0.0388,0.2151,-2.866,0.416,-5.92,-0.211,-0.075,-0.038,
qlib158_std20,qlib158,momentum,ok,-0.0297,0.225,-2.097,0.436,-4.31,0.272,0.257,0.0503,
qlib158_std30,qlib158,momentum,ok,-0.0285,0.2301,-1.967,0.448,-4.02,0.026,0.048,0.0048,
qlib158_std5,qlib158,momentum,ok,-0.0303,0.2071,-2.321,0.444,-4.8,-0.001,-0.13,-0.0001,
qlib158_std60,qlib158,momentum,ok,-0.0338,0.2412,-2.226,0.44,-4.49,0.281,0.284,0.0541,
qlib158_sumd10,qlib158,reversal,ok,-0.0015,0.2355,-0.098,0.497,-0.2,0.331,-0.002,0.0625,
qlib158_sumd20,qlib158,reversal,ok,-0.0002,0.2438,-0.011,0.492,-0.02,0.605,0.148,0.1209,
qlib158_sumd30,qlib158,reversal,ok,-0.0009,0.2534,-0.059,0.507,-0.12,0.37,0.309,0.0767,
qlib158_sumd5,qlib158,reversal,ok,-0.0065,0.2234,-0.464,0.486,-0.96,0.428,-0.022,0.0762,
qlib158_sumd60,qlib158,reversal,ok,-0.0032,0.2511,-0.204,0.497,-0.41,-0.039,0.173,-0.0081,
qlib158_sumn10,qlib158,reversal,ok,0.0015,0.2356,0.099,0.504,0.2,-0.339,-0.315,-0.0642,
qlib158_sumn20,qlib158,reversal,ok,0.0002,0.2438,0.011,0.508,0.02,-0.603,-0.462,-0.1204,
qlib158_sumn30,qlib158,reversal,ok,0.0009,0.2534,0.059,0.493,0.12,-0.368,-0.076,-0.0762,
qlib158_sumn5,qlib158,reversal,ok,0.0065,0.2235,0.461,0.513,0.95,-0.454,-0.414,-0.0812,
qlib158_sumn60,qlib158,reversal,ok,0.0032,0.2511,0.204,0.503,0.41,0.059,0.232,0.0122,
qlib158_sump10,qlib158,reversal,ok,-0.0015,0.2355,-0.1,0.496,-0.21,0.327,-0.002,0.0619,
qlib158_sump20,qlib158,reversal,ok,-0.0002,0.2438,-0.011,0.492,-0.02,0.604,0.147,0.1207,
qlib158_sump30,qlib158,reversal,ok,-0.0009,0.2534,-0.058,0.507,-0.12,0.374,0.31,0.0774,
qlib158_sump5,qlib158,reversal,ok,-0.0065,0.2232,-0.464,0.488,-0.96,0.448,-0.025,0.0798,
qlib158_sump60,qlib158,reversal,ok,-0.0032,0.2511,-0.204,0.497,-0.41,-0.041,0.173,-0.0084,
qlib158_vma10,qlib158,"volume,volatility",ok,0.013,0.1666,1.241,0.539,2.56,0.625,0.169,0.0902,
qlib158_vma20,qlib158,"volume,volatility",ok,0.0146,0.169,1.367,0.541,2.81,0.17,0.003,0.0243,
qlib158_vma30,qlib158,"volume,volatility",ok,0.0159,0.1715,1.476,0.552,3.02,0.366,0.04,0.0541,
qlib158_vma5,qlib158,"volume,volatility",ok,0.0095,0.1661,0.908,0.534,1.88,0.15,-0.012,0.0217,
qlib158_vma60,qlib158,"volume,volatility",ok,0.0185,0.1761,1.667,0.547,3.36,0.332,0.124,0.0499,
qlib158_vstd10,qlib158,"volume,volatility",ok,-0.0046,0.1589,-0.463,0.493,-0.96,0.506,0.114,0.0657,
qlib158_vstd20,qlib158,"volume,volatility",ok,0.0021,0.1681,0.197,0.505,0.4,0.66,0.212,0.0901,
qlib158_vstd30,qlib158,"volume,volatility",ok,0.006,0.1723,0.551,0.514,1.13,0.601,0.101,0.0859,
qlib158_vstd5,qlib158,"volume,volatility",ok,-0.0084,0.1491,-0.891,0.478,-1.84,-0.242,-0.289,-0.0305,
qlib158_vstd60,qlib158,"volume,volatility",ok,0.0081,0.1829,0.704,0.515,1.42,0.182,0.104,0.0264,
qlib158_vsumd10,qlib158,"volume,volatility",ok,-0.0138,0.158,-1.386,0.47,-2.86,-0.707,-0.489,-0.0964,
qlib158_vsumd20,qlib158,"volume,volatility",ok,-0.0109,0.1737,-0.992,0.466,-2.04,-0.13,-0.3,-0.0188,
qlib158_vsumd30,qlib158,"volume,volatility",ok,-0.012,0.1718,-1.107,0.47,-2.26,-0.002,-0.059,-0.0002,
qlib158_vsumd5,qlib158,"volume,volatility",ok,-0.0168,0.1635,-1.631,0.44,-3.37,-1.353,-0.662,-0.187,
qlib158_vsumd60,qlib158,"volume,volatility",ok,-0.0166,0.17,-1.547,0.44,-3.12,-0.374,-0.324,-0.0565,
qlib158_vsumn10,qlib158,"volume,volatility",ok,0.0138,0.158,1.386,0.53,2.86,0.707,0.015,0.0964,
qlib158_vsumn20,qlib158,"volume,volatility",ok,0.0109,0.1737,0.992,0.534,2.04,0.13,-0.221,0.0188,
qlib158_vsumn30,qlib158,"volume,volatility",ok,0.012,0.1718,1.107,0.53,2.26,0.002,-0.061,0.0002,
qlib158_vsumn5,qlib158,"volume,volatility",ok,0.0168,0.1635,1.631,0.56,3.37,1.353,0.331,0.187,
qlib158_vsumn60,qlib158,"volume,volatility",ok,0.0166,0.17,1.547,0.56,3.12,0.375,-0.043,0.0567,
qlib158_vsump10,qlib158,"volume,volatility",ok,-0.0138,0.158,-1.386,0.47,-2.86,-0.707,-0.489,-0.0964,
qlib158_vsump20,qlib158,"volume,volatility",ok,-0.0109,0.1737,-0.992,0.466,-2.04,-0.13,-0.3,-0.0188,
qlib158_vsump30,qlib158,"volume,volatility",ok,-0.012,0.1718,-1.107,0.47,-2.26,-0.002,-0.059,-0.0002,
qlib158_vsump5,qlib158,"volume,volatility",ok,-0.0168,0.1635,-1.631,0.44,-3.37,-1.353,-0.662,-0.187,
qlib158_vsump60,qlib158,"volume,volatility",ok,-0.0166,0.17,-1.547,0.44,-3.12,-0.374,-0.324,-0.0565,
qlib158_wvma10,qlib158,"volume,volatility",ok,-0.0031,0.1425,-0.351,0.5,-0.72,0.205,-0.15,0.0246,
qlib158_wvma20,qlib158,"volume,volatility",ok,-0.0006,0.139,-0.068,0.481,-0.14,0.646,0.026,0.0749,
qlib158_wvma30,qlib158,"volume,volatility",ok,0.0013,0.1417,0.141,0.503,0.29,0.602,0.209,0.0737,
qlib158_wvma5,qlib158,"volume,volatility",ok,-0.0004,0.1498,-0.045,0.5,-0.09,0.653,0.12,0.0851,
qlib158_wvma60,qlib158,"volume,volatility",ok,0.0026,0.1504,0.276,0.498,0.56,0.4,0.321,0.048,
sentiment_divergence,sentiment,sentiment,no_ic,,,,,,,,,IC 序列为空
sentiment_heat,sentiment,sentiment,no_ic,,,,,,,,,IC 序列为空
sentiment_score,sentiment,sentiment,no_ic,,,,,,,,,IC 序列为空
sentiment_signal,sentiment,sentiment,no_ic,,,,,,,,,IC 序列为空
